q,n1,n2,n3,n4,a,t,s
태평양 해양 쓰레기섬의 규모 중 맞는 것은?,태평양 해양 쓰레기섬은 단지 약 10만 ㎢의 면적을 차지한다.,약 160만 ㎢의 면적을 차지한다.,태평양 해양 쓰레기섬은 약 100만 ㎢의 면적을 차지한다.,"태평양 해양 쓰레기섬은 약 50만 ㎢의 면적을 차지한다.",2,태평양 쓰레기섬,"태평양 해양 쓰레기섬은 약 160만 ㎢로, 이는 면적이 광범위하여 해양 생태계에 큰 영향을 미칩니다."
태평양 해양 쓰레기섬(GPGP)에 대한 설명 중 옳은 것은?,태평양 해양 쓰레기섬은 플라스틱만으로 형성된 지역이다.,태평양 해양 쓰레기섬은 매년 지구에 새로운 해양 쓰레기가 증가함에 따라 줄어들고 있다.,"해양 쓰레기섬의 규모는 약 160만 ㎢로, 무게는 약 8만 톤이다.","태평양 해양 쓰레기섬은 약 100만 ㎢로, 무게는 약 20만 톤이다.",3,태평양 쓰레기섬,"GPGP의 면적과 무게는 연구에 기반한 정확한 수치로, 해양 쓰레기 문제의 심각성을 나타냅니다."
태평양 해양 쓰레기섬(GPGP)의 발견자는 누구인가?,알렉스 존슨(Alex Johnson),제임스 카메론(James Cameron),찰스 무어(Charles Moore),리처드 브랜슨(Richard Branson),3,태평양 쓰레기섬,찰스 무어는 1997년 태평양에서 해양 쓰레기섬을 발견하여 이를 최초로 보고하였습니다.
태평양 쓰레기섬(GPGP)에서 발견된 플라스틱 쓰레기의 개수는 대략 얼마인가?,약 5천억 개,약 1조 8천억 개,약 100억 개,약 500억 개,2,태평양 쓰레기섬,GPGP에서 플라스틱 쓰레기 수는 해양 생태계 영향 분석 결과에 기반하여 약 1조 8천억 개로 추산되었습니다.
미세 플라스틱이 해양 생물에게 미치는 영향으로 옳은 것은?,미세 플라스틱은 바다의 수질 개선에 기여한다.,미세 플라스틱은 해양 생물의 성장에만 긍정적인 영향을 준다.,미세 플라스틱은 해양 생물에게 아무런 영향을 미치지 않는다.,"물리적인 상처, 장폐색, 산화 스트레스 등의 여러 가지 부작용을 겪을 수 있다.",4,미세플라스틱,미세 플라스틱은 해양 생물에게 물리적 손상과 생리적 스트레스를 유발하여 건강을 해칩니다.
미세 플라스틱이 해양 생물에 미치는 영향으로 알맞은 것은?,미세 플라스틱은 해양 생물에게 도움이 되며 영양분을 제공한다.,해양 생물은 미세 플라스틱을 소화할 수 있어 건강에 아무런 영향을 미치지 않는다.,해양 생물은 미세 플라스틱을 섭취하여 여러 가지 부작용을 겪을 수 있다.,미세 플라스틱은 해양 생물의 생태계에 전혀 영향을 미치지 않는다.,3,미세플라스틱,미세 플라스틱은 해양 생물의 건강에 해로운 화학물질을 포함해 부작용을 일으킬 수 있습니다.
미세플라스틱이 해양 생물에 미치는 영향을 올바르게 설명한 것은?,미세플라스틱은 해양 생물에 전혀 영향을 미치지 않는다.,해양 동물은 미세플라스틱을 섭취하면 더 건강해진다.,미세플라스틱은 해양 생물의 생태계에서 자연스럽게 분해된다.,"미세플라스틱을 섭취한 해양 동물은 물리적인 상처, 장폐색, 에너지 할당 감소 등 여러 가지 부작용을 겪을 수 있다.",4,미세플라스틱,미세플라스틱 섭취로 생물에 물리적 피해와 에너지 감소가 발생하기 때문입니다.
미세 플라스틱이 해양 생물에게 미치는 부작용으로 알맞은 것은?,미세 플라스틱은 해양 생물의 성장에 긍정적인 효과를 준다.,"물리적인 상처, 장폐색, 에너지 할당 감소 등이 발생할 수 있다.",미세 플라스틱은 해양 생물에게 아무런 영향을 미치지 않는다.,미세 플라스틱은 해양 생물에게 특수한 영양소를 제공한다.,2,미세플라스틱,"미세 플라스틱은 해양 생물에 물리적 손상을 주며, 장 폐쇄를 유발하고 에너지 소비를 증가시킵니다."
허베이스피릿호 원유유출사고로 인해 발생한 해양오염의 주된 원인은 무엇인가?,원유유출사고는 선원의 실수로 인해 발생했다.,허베이스피릿호는 태풍으로 인해 침몰했다.,삼성중공업 소유의 크레인이 예인선과의 연결이 끊어져 유조선과 충돌했다.,사고의 주된 원인은 유조선의 자율운항 시스템 고장이다.,3,허베이스피릿호 원유유출 사고,해양오염의 주된 원인은 크레인의 조작 미숙으로 인해 유조선과의 충돌이 발생했기 때문입니다.
허베이스피릿호 원유유출 사고의 주된 원인은 무엇인가?,허베이스피릿호의 엔진이 고장이 나서 사고가 발생하였다.,예인선과의 연결이 끊어져 크레인이 유조선과 충돌하였다.,해양경찰의 안전 점검을 무시해서 사고가 발생하였다.,허베이스피릿호는 원유 대신 생수만을 운반하고 있었다.,2,허베이스피릿호 원유유출 사고,"예인선과의 연결이 끊어짐으로써 유조선의 조타가 불가능해져, 크레인이 충돌하는 사고가 발생하였기 때문입니다."
허베이스피릿호 원유 유출 사고로 인해 발생한 해양오염 지역 중 올바른 것은?,허베이스피릿호 사고로 인해 발생한 해양오염은 제주도 근처에서만 발생했다.,"태안해안국립공원을 중심으로 해상 203㎢, 해안 54㎢의 해역오염이 발생했다.",해양오염이 발생하지 않았다.,허베이스피릿호 사고로 인해 부산에서만 오염이 발생했다.,2,허베이스피릿호 원유유출 사고,"태안해안국립공원은 유출 사고의 주요 피해 지역으로, 조사 결과 해당 면적이 해양오염의 범위를 정확히 나타냅니다."
허베이스피릿호 원유유출 사고와 관련하여 옳은 것은?,사고 지역은 제주도 앞바다였다.,허베이스피릿호 원유유출 사고는 2010년 4월 20일에 발생하였다.,"2007년 12월 7일 충남 앞 바다에서 발생하여 약 12,547㎘의 원유가 유출되었다.","이 사고로 유출된 원유의 양은 약 5,000㎘였다.",3,허베이스피릿호 원유유출 사고,"허베이스피릿호 사고는 원유 유출의 대표적 사례로, 유출량이 약 12,547㎘리거 명확히 기록되었습니다."
호주 시드니 해변에 떠밀려온 검은 공의 성분으로 알려진 것은?,검은 공은 물고기의 주요 먹이로 사용된다.,검은 공은 주로 나무로 이루어져 있다.,탄화수소 기반 오염물질이다.,검은 공은 해양 생물의 가치를 높이기 위한 해양 미술 작품이다.,3,호주 검은 공 사건,"검은 공은 탄화수소를 포함, 해양 오염의 주원인으로 파악됩니다."
호주 시드니 해변에 떠밀려온 검은 공은 어떤 성분으로 되어 있는가?,검은 공은 식물성 기름으로 만들어져 있다.,검은 공은 주로 철로 만들어져 있다.,탄화수소 기반 오염물질이다.,"검은 공은 금속으로 만들어져 있으며, 해양 생물의 배설물이다.",3,호주 검은 공 사건,"검은 공은 탄화수소 기반으로, 석유 제품에서 유래된 오염물질입니다."
호주 시드니 해변에 떠밀려온 검은 공은 무엇으로 알려져 있는가?,해양에서 자연적으로 생성되는 해양식물의 일종이다.,해양 생물의 배설물로 알려져 있는 자연적인 물질이다.,호주의 시드니 해변 근처에서 자주 발견되는 루비다.,탄화수소 기반 오염물질이다.,4,호주 검은 공 사건,"검은 공은 탄화수소 기반 오염물질로, 해양 오염의 지표입니다."
호주 시드니 해변에 떠밀려온 '검은 공'에 대한 설명으로 올바른 것은 무엇인가?,검은 공은 화산 폭발로 인해 발생한 자연적인 현상이다.,검은 공은 단순한 해조류로 이루어져 있다.,"검은 공은 탄화수소 기반 오염물질로, 석유가 다른 물질과 응고되어 생성되었다.",검은 공은 해양 생물의 배설물로 형성되었다.,3,호주 검은 공 사건,"검은 공은 석유 오염으로 인한 탄화수소의 응집체로, 해양 오염을 나타냅니다."
호주 시드니 해변에서 발견된 검은 공의 성분으로 정확한 것은 무엇입니까?,검은 공의 성분은 금속 합금이다.,검은 공의 성분은 방사성 물질이다.,검은 공의 성분은 식물성 오일이다.,탄화수소 기반 오염물질,4,호주 검은 공 사건,"검은 공은 탄화수소의 집합체로, 오염물질로 판단됩니다."
약품 사고로 인해 해양 생물에 부정적인 영향을 미치는 것은 무엇인가?,해양 생물에 대한 약품의 영향을 연구하는 것은 필요하지 않다.,항우울제에 노출된 민물가재는 포식자를 마주해도 피하지 않는다.,약품 사고는 해양 생물에게 어떤 영향을 미치지 않는다.,항생제가 노출된 민물고기는 생존율이 높아진다.,2,약품 사고,"항우울제가 민물가재의 행동을 변화시켜, 포식자에게 발각될 위험을 증가시킵니다."
해양 생물에 미치는 약품 오염의 영향으로 옳은 것은?,항생제에 노출된 해양 생물의 생존율은 항상 증가한다.,항우울제에 노출된 민물가재가 포식자에 반응하지 않는 행동이 생존에 부정적 영향을 미친다.,약품 오염은 해양 생물에게 전혀 영향을 미치지 않는다.,항우울제에 노출된 민물가재는 포식자의 반응을 더욱 잘하게 된다.,2,약품 사고,해당 행동은 포식자에게 더 쉽게 잡히게 하여 생존에 부정적 영향을 미칩니다.
제주바다에서 발견된 폐어구에 걸린 돌고래의 문제와 관련하여 옳은 것은?,남방큰돌고래는 제주에서 발견되지 않는 종이다.,제주에서 폐어구에 걸린 돌고래는 2주 만에 구출되었다.,폐어구는 돌고래의 생존에 전혀 영향을 미치지 않는다.,제주에서 폐어구에 걸린 남방큰돌고래 종달이가 10개월 만에 낚싯줄 제거에 성공했다.,4,폐어구에 걸린 돌고래,제주에서 남방큰돌고래가 폐어구로부터 구출된 사례를 통해 해양 생태계 보호의 중요성을 강조합니다.
제주바다에서 폐어구에 걸린 돌고래인 '종달이'는 어떤 문제를 겪었나요?,종달이는 먹이를 찾지 못해 힘들어했다.,낚싯줄에 감겨서 활동이 제한되었다.,"돌고래는 폐어구에 걸렸지만, 그로 인해 수동적인 이동을 할 수 있었다.",종달이는 바다의 오염물질로 인해 영향을 받았다.,2,폐어구에 걸린 돌고래,"'종달이'는 낚싯줄에 감겨 있어 활동이 제한되고, 생명에 위협을 받아 힘들어했습니다."
폐어구에 걸린 돌고래의 문제에 대한 설명으로 올바른 것은?,폐어구로 인해 돌고래의 생명과 생태계가 위협받고 있다.,돌고래는 폐어구로부터 완전히 안전하다.,폐어구는 돌고래의 생명에 아무런 영향을 미치지 않는다.,폐어구는 돌고래를 보살피는 데 도움이 된다.,1,폐어구에 걸린 돌고래,폐어구는 돌고래를 걸리게 하여 생명과 생태계에 위협을 초래하기 때문입니다.
폐어구에 걸린 돌고래와 관련하여 옳은 것은?,폐어구는 돌고래의 수영 능력을 향상시킨다.,제주바다에서는 폐어구 문제가 전혀 발생하지 않는다.,폐어구에 걸린 돌고래는 항상 구조된다.,폐어구로 인해 해양 생명이 위협받고 있다.,4,폐어구에 걸린 돌고래,"폐어구는 해양 생물을 잡아 죽이고, 건강을 해치므로 해양 생명이 위협받습니다."
폐어구에 걸린 돌고래가 제주바다에서 발견된 이유로 알맞은 것은?,바다의 해양 쓰레기가 증가하고 있기 때문이다.,돌고래는 폐어구와 무관하게 자연에서만 발견된다.,"폐어구는 바다에서 발생하지 않고, 주로 강에서 발견된다.",제주바다의 돌고래들은 해양 쓰레기와는 아무런 관계가 없다.,1,폐어구에 걸린 돌고래,"해양 쓰레기 증가로 폐어구가 많아져, 돌고래가 걸릴 위험이 커졌기 때문입니다."
우리나라 연안에서 발견된 바다 거북의 폐사체 중 플라스틱을 섭식한 비율은 얼마인가?,70.5%,90.2%,82.4%,55.1%,3,우리나라 바다 거북,해양 거북 폐사체에서 플라스틱 섭식이 높은 비율은 해양 오염의 심각성을 나타냅니다.
우리나라 연안에서 발견된 바다거북의 34마리 중 플라스틱을 섭식한 비율로 알맞은 것은?,0마리,31마리,10마리,28마리,4,우리나라 바다 거북,"34마리 중 28마리가 플라스틱을 섭식했다면, 섭식 비율은 약 82.4%로 계산됩니다."
"우리나라 연안에서 발견된 바다거북 중, 해양 플라스틱 섭식한 비율은?",30%,50%,100%,80%,4,우리나라 바다 거북,"바다거북은 해양 플라스틱을 섭식하는 비율이 높아, 생태계 오염의 직접적인 영향을 받습니다."
우리나라 연안에서 발견된 바다 거북 중 플라스틱을 섭식한 비율에 대한 설명으로 알맞은 것은?,모든 바다 거북이 플라스틱을 섭식하는 것으로 알려져 있다.,플라스틱을 섭식한 바다 거북은 전혀 발견되지 않았다.,10마리 중 8마리가 플라스틱을 먹은 것으로 확인되었다.,10마리 중 2마리만이 플라스틱을 섭식한 것으로 확인되었다.,3,우리나라 바다 거북,플라스틱 섭식 비율이 높아 환경 문제를 드러냅니다.
상괭이가 멸종위기 등급으로 지정된 이유로 알맞은 것은?,상괭이는 서식지의 자연적 변화로 인해 개체수가 줄어들고 있다.,상괭이는 환경오염으로 인해 생존 가능성이 높아지고 있다.,혼획 및 불법 포획 등으로 개체수가 급감하고 있기 때문이다.,상괭이는 다른 해양 포유류와의 경쟁 때문에 멸종위기에 처해 있다.,3,상괭이,상괭이는 인간 활동으로 인해 서식지가 파괴되고 개체수가 급감하였기 때문입니다.
상괭이가 주로 서식하는 지역으로 옳은 것은?,태평양의 심해,한반도 남서해,북극해,아프리카 해안,2,상괭이,상괭이는 주로 한반도 남서해의 따뜻한 수역에서 서식합니다.
상괭이의 개체수가 급감하고 있는 주된 원인은 무엇인가?,"혼획, 해양 쓰레기, 불법 포획 등 여러 환경적 요인",기후 변화,상괭이는 오직 자연 재해로만 생존 위협을 받고 있다.,상괭이는 인간과의 접촉이 많아서 개체수가 증가하고 있다.,1,상괭이,"상괭이 개체수 감소는 혼획, 해양 쓰레기, 불법 포획 등으로 생존 환경이 위협받기 때문입니다."
상괭이는 주로 어떤 지역에서 서식하는가?,한반도 남서해,대서양,북극해,남극,1,상괭이,"상괭이는 따뜻한 해양 환경에서 주로 서식하며, 한반도 남서해는 이러한 조건을 충족합니다."
상괭이의 주요 서식지는 어디인가?,한반도 남서해,대서양,남극 지역,호수와 강에서만 서식한다.,1,상괭이,"상괭이는 한반도 남서해의 얕은 바다에서 주로 서식하며, 이곳의 수온과 먹이가 풍부하기 때문입니다."
해양쓰레기의 발생원인으로 알맞은 것은?,해양쓰레기는 바다의 소금물에 의해 즉시 정화된다.,해양쓰레기는 주로 산소 부족으로 발생한다.,일상적인 생활에서 배출되는 쓰레기가 하천과 강을 따라 바다로 유입된다.,해양쓰레기는 지구 온난화로 인해 자연적으로 생성된다.,3,해양쓰레기 발생원인,일상 쓰레기가 하천 통해 바다로 유입되기 때문입니다.
다음 중 해양쓰레기 발생원인으로 알맞은 것은?,해양쓰레기는 주로 해안가에서만 발생한다.,일상적인 생활에서 배출되는 쓰레기가 하천과 강을 따라 바다로 들어온다.,해양쓰레기는 어업 활동과 전혀 관련이 없다.,해양쓰레기는 태평양에서만 발생하는 현상이다.,2,해양쓰레기 발생원인,"일상 생활쓰레기, 유입되어 해양오염 유발합니다."
해양쓰레기 발생원인으로 알맞은 것은?,해양쓰레기는 외계에서 떨어진 운석 때문에 발생한다.,해양쓰레기는 산에서만 발생한다.,해양쓰레기는 아무 영향이 없으므로 무시할 수 있다.,일상적인 생활에서 배출된 쓰레기가 하천과 강을 따라 바다로 들어오거나 해안 또는 배에서 직접 바다로 들어간다.,4,해양쓰레기 발생원인,일상 쓰레기가 수로 통해 바다로 유입되기 때문입니다.
해양쓰레기의 현황에 대한 설명으로 알맞은 것은?,해양쓰레기는 주로 육지의 산에서 발생한다.,해양쓰레기는 한 번 발생하면 자연적으로 빠르게 분해된다.,국내 해양쓰레기의 총량은 매년 약 1톤 미만으로 매우 적다.,국내 해양쓰레기의 총량은 매년 약 12만톤~14만톤으로 추정된다.,4,해양쓰레기 현황,통계 자료에 기반한 추정치이기 때문입니다.
해양쓰레기의 주요 유입 경로로 옳은 것은?,해양쓰레기는 수산업과 전혀 관련이 없다.,해양쓰레기는 주로 외계에서 비행 접시로 운송된다.,해양쓰레기는 바람에 의해 우주로 날아간다.,"육지에서 하천을 따라 들어오거나, 수산업에서 발생한 폐어구가 바다로 유입된다.",4,해양쓰레기 현황,육지와 수산업이 주된 해양 쓰레기 원천입니다.
다음 중 해양쓰레기의 주요 유입 경로로 알맞은 것은?,해양쓰레기는 주로 우주에서 떨어진 파편들로 구성된다.,육지에서의 홍수 때 하천을 따라 들어오는 양과 바다에서 수산업에서 발생한 폐어구가 유입된다.,해양쓰레기는 대기 오염에 의해 공기 중으로 유입된다.,해양쓰레기는 대부분 해저에서 자연적으로 분해된다.,2,해양쓰레기 현황,"홍수 시 육지 쓰레기가 하천을 통해 유입되며, 수산업 폐기물도 주요 원인입니다."
해양쓰레기의 주요 유입 경로로 알맞은 것은?,해양쓰레기의 주요 유입 경로는 주로 공기 중에 떠다니는 먼지이다.,해양쓰레기는 모두 자연적으로 분해되며 해양 환경에 해가 되지 않는다.,"육지에서 유입되는 양이 65%로, 하천을 따라 들어오는 경우가 많다.",해양쓰레기는 대양의 깊은 곳에서만 발생하는 현상이다.,3,해양쓰레기 현황,육지 오염원과 강을 통해 해양으로 유입됩니다.
해양쓰레기의 주요 유입 경로로 알맞은 것은?,해양쓰레기는 대기 중에서 떨어지는 우주 먼지가 주요 원인이다.,해양쓰레기는 단지 해저 화산 폭발로만 발생한다.,해양쓰레기의 주요 유입 경로는 해양 동물들이 운반하는 것이다.,"육지에서 유입되는 양이 65%로 대부분을 차지하며, 육지에서는 홍수 때 하천을 따라 들어오는 양이 많다.",4,해양쓰레기 현황,육지 유입이 많아 해양쓰레기의 주요 경로입니다.
다음 중 해양쓰레기의 피해 및 위험성에 대한 설명으로 알맞은 것은?,해양쓰레기는 바닷물에 의해 즉시 분해되어 환경에 영향을 주지 않는다.,모든 해양쓰레기는 생물에게 유익한 자원이 된다.,"해양쓰레기는 육상에서만 발생하며, 해상에서는 발생하지 않는다.",해양쓰레기는 자연 작용에 의해 완전히 분해되기까지 오랜 시간이 소요된다.,4,해양쓰레기 피해 및 위험성,해양쓰레기는 분해에 수백년이 걸리기 때문입니다.
다음 중 해양쓰레기의 피해 및 위험성에 대한 설명으로 알맞은 것은?,해양쓰레기는 풍화작용으로 미세플라스틱이 되어 해양생태계를 위협하고 바다를 오염시킨다.,해양쓰레기는 해안 국가들에서만 문제로 보고되고 해양국가에서는 큰 문제가 되지 않는다.,해양쓰레기는 자연적으로 빠르게 분해되어 환경에 무해하다.,해양쓰레기는 해양 생물에게 이로운 환경을 제공한다.,1,해양쓰레기 피해 및 위험성,미세플라스틱은 해양 생물과 환경에 심각한 영향을 미칩니다.
다음 중 해양쓰레기로 인해 발생할 수 있는 피해 및 위험성으로 옳은 것은?,해양쓰레기는 바다에서 자연적으로 빠르게 분해되어 무해하다.,해양쓰레기는 풍화작용으로 미세플라스틱이 되어 해양생태계를 위협한다.,해양쓰레기는 해양생태계와 전혀 관련이 없다.,해양쓰레기는 지구의 기후 변화에 긍정적인 영향을 미친다.,2,해양쓰레기 피해 및 위험성,해양쓰레기는 미세플라스틱으로 분해되어 생태계를 위협합니다.
다음 중 해양쓰레기의 위험성에 대한 설명으로 알맞은 것은?,"플라스틱 해양쓰레기는 자연 작용에 의해 분해되며, 미세플라스틱으로 변해 해양생태계를 위협한다.","해양쓰레기는 해안가에만 영향을 미치고, 바다 깊숙한 곳에는 영향을 주지 않는다.",해양쓰레기는 시간이 지나면 모두 자연적으로 사라진다.,플라스틱 해양쓰레기는 물고기와 상호작용하여 해양 생태계를 개선한다.,1,해양쓰레기 피해 및 위험성,플라스틱은 분해되면서 미세플라스틱이 되어 생태계를 위협합니다.
해양쓰레기의 위험성으로 알맞은 것은?,해양쓰레기는 풍화작용으로 인해 미세플라스틱이 되어 해양생태계를 위협한다.,해양쓰레기는 해양생태계에 긍정적인 변화를 가져온다.,"해양쓰레기는 해양 생물에게 안전하며, 그들에게 피해를 주지 않는다.",해양쓰레기는 자연적으로 몇 주 내에 완전히 분해된다.,1,해양쓰레기 피해 및 위험성,미세플라스틱은 생태계에 악영향을 미칩니다.
다음 중 해양쓰레기로 인한 피해 사례로 알맞은 것은?,해양쓰레기는 단순히 해안가의 경관을 아름답게 만든다.,해양쓰레기는 해산물 어획량 감소 및 어업장비 손상 등의 어업 생산성 저하를 초래한다.,해양쓰레기는 해양 생태계를 활성화시켜 다양한 어종의 서식을 증가시킨다.,해양쓰레기는 바다에서 자연적으로 분해되어 아무런 문제를 일으키지 않는다.,2,해양쓰레기 피해 사례,해양쓰레기는 어업 장비를 방해하고 해양 생태계를 파괴합니다.
다음 중 해양쓰레기로 인한 피해 사례에 대한 설명으로 옳은 것은?,해양쓰레기는 해양 생물에게 피난처를 제공하여 긍정적인 영향을 미친다.,해양쓰레기는 해저에서만 발생하고 지상에서는 문제가 되지 않는다.,해양쓰레기는 시간이 지나면 자연적으로 사라지기 때문에 큰 문제가 되지 않는다.,해양쓰레기는 바람과 해류를 따라 국가 간 이동하여 외교 문제를 일으킬 수 있다.,4,해양쓰레기 피해 사례,국가 간 쓰레기 이동은 외교적 갈등을 초래합니다.
해양쓰레기 문제로 인해 발생할 수 있는 현상으로 알맞은 것은?,해양쓰레기는 해양 생물에게 서식지를 제공하는 긍정적인 영향을 미친다.,해양쓰레기는 자연적으로 오존층 파괴를 막는다.,해양쓰레기는 바다에 머무르지 않고 즉시 물에 녹아 사라진다.,해양쓰레기는 바다생물의 생명을 위협한다.,4,해양쓰레기 피해 사례,해양쓰레기를 섭취하거나 몸에 걸려 바다생물의 생명을 위협합니다.
다음 중 해양쓰레기로 인해 발생할 수 있는 문제로 알맞은 것은?,해양쓰레기는 시간이 지나면 자연적으로 빠르게 분해된다.,해양쓰레기는 해양 생물에게 새로운 서식지를 제공한다.,국가 간 외교 갈등이 발생할 수 있다.,해양쓰레기는 해안 경관을 아름답게 만든다.,3,해양쓰레기 피해 사례,"해양쓰레기는 공유 자원으로, 국가 간 책임 분쟁을 유발할 수 있습니다."
다음 중 해양쓰레기로 인한 문제로 옳은 것은?,해양쓰레기는 자연적으로 빠르게 분해된다.,해양쓰레기는 국가 간 갈등을 유발할 수 있다.,해양쓰레기는 바다에 떠다니지 않고 해변에서만 발견된다.,해양쓰레기는 해양 생태계에 긍정적인 영향을 준다.,2,해양쓰레기 피해 사례,해양쓰레기는 국가 간 해역 분쟁을 초래합니다.
